abstract data type  抽象数据类型
abstract syntax  抽象语法
abstract syntax tree  抽象语法树
algebraic datatype  代数数据类型
algebraic simplification  代数化简
Backus-Naur Form (BNF)  巴科斯——诺尔范式
client code  客户端代码
conclusion  结论
concrete syntax  具体语法
constructor  构造函数
decidable theory  可判定理论
grammar  文法
induction  归纳
inductive hypothesis  归纳假设
induction principle  归纳法则
inductive proof  归纳证明
inductive definition  归纳定义
inductive set:  归纳集合
inductive type  归纳类型
inference rule  推断规则
invariant  不变量
linear arithmetic  线性运算
metalanguage  元语言
noncanonical  非规范化的
nonterminal  非终结符
object language  对象语言
predicate  断言
premise  前提
primitive recursion  原始递归
recursive definition  递归定义
representation functions  表示函数
relation  关系
rewrite  改写
semantics  语义
specifications  规范
structural induction  结构化归纳
syntax  语法
ternimal  终结符
transition system  转移系统
unification  统一化
